state_code,polls_open,polls_close,notes
AL,7:00:00 AM,7:00:00 PM,
AK,7:00:00 AM,8:00:00 PM,
AZ,6:00:00 AM,7:00:00 PM,
AR,7:30:00 AM,7:30:00 PM,
CA,7:00:00 AM,8:00:00 PM,
CO,7:00:00 AM,7:00:00 PM,
CT,6:00:00 AM,8:00:00 PM,
DE,7:00:00 AM,8:00:00 PM,
FL,7:00:00 AM,7:00:00 PM,
GA,7:00:00 AM,7:00:00 PM,Polling place hours vary by town/municipality
HI,7:00:00 AM,6:00:00 PM,
ID,8:00:00 AM,8:00:00 PM,Polling place hours vary by county
IL,6:00:00 AM,7:00:00 PM,
IN,6:00:00 AM,6:00:00 PM,
IA,7:00:00 AM,9:00:00 PM,
KS,7:00:00 AM,7:00:00 PM,Polling place hours vary by county
KY,6:00:00 AM,6:00:00 PM,
LA,6:00:00 AM,8:00:00 PM,
ME,,8:00:00 PM,Polling place hours vary by town/municipality
MD,7:00:00 AM,8:00:00 PM,
MA,,,Polling place hours vary by town/municipality
MI,7:00:00 AM,8:00:00 PM,
MN,,8:00:00 PM,Polling place hours vary by town/municipality
MS,7:00:00 AM,7:00:00 PM,
MO,6:00:00 AM,7:00:00 PM,
MT,,8:00:00 PM,Polling place hours vary by precinct
NE,,,Polling place hours vary by time zone
NV,7:00:00 AM,7:00:00 PM,
NH,,7:00:00 PM,Polling place hours vary by town/municipality
NJ,6:00:00 AM,8:00:00 PM,
NM,7:00:00 AM,7:00:00 PM,
NY,,9:00:00 PM,Polling place hours vary by county
NC,6:30:00 AM,7:30:00 PM,
ND,,,Polling place hours vary by precinct
OH,6:30:00 AM,7:30:00 PM,
OK,7:00:00 AM,7:00:00 PM,
OR,,,
PA,7:00:00 AM,8:00:00 PM,
RI,,8:00:00 PM,
SC,7:00:00 AM,7:00:00 PM,
SD,7:00:00 AM,7:00:00 PM,
TN,,,Polling place hours vary by county
TX,7:00:00 AM,7:00:00 PM,
UT,7:00:00 AM,8:00:00 PM,
VT,,7:00:00 PM,Polling place hours vary by town/municipality
VA,6:00:00 AM,7:00:00 PM,
WA,,8:00:00 PM,
WV,6:30:00 AM,7:30:00 PM,
WI,7:00:00 AM,8:00:00 PM,
WY,7:00:00 AM,7:00:00 PM,
AS,,,
DC,7:00:00 AM,8:00:00 PM,
FM,,,
GU,,,
MH,,,
MP,,,
PW,,,
PR,,,
VI,,,
